lam,lr,kfac,dfac,beta,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0.001,0.005,5,200,0.2,"[0.0841, 0.0029]","[0.0146, 0.0006]","[0.0119, 0.0005]","[0.0103, 0.0004]","[0.0204, 0.001]","[0.0064, 0.0002]","[0.0341, 0.0024]","[0.0904, 0.004]","[0.1081, 0.0043]","[0.1232, 0.0045]","[0.0644, 0.0034]","[0.1847, 0.0053]"
0.001,0.01,7,200,0.2,"[0.0793, 0.0028]","[0.0139, 0.0006]","[0.0113, 0.0004]","[0.0097, 0.0004]","[0.0196, 0.001]","[0.0061, 0.0002]","[0.0312, 0.0023]","[0.0858, 0.0039]","[0.1029, 0.0042]","[0.1159, 0.0044]","[0.0617, 0.0033]","[0.1747, 0.0052]"
0.001,0.005,7,200,0.2,"[0.0839, 0.0029]","[0.0144, 0.0006]","[0.0119, 0.0005]","[0.0104, 0.0004]","[0.0201, 0.001]","[0.0063, 0.0002]","[0.0348, 0.0024]","[0.0893, 0.0039]","[0.1082, 0.0043]","[0.1242, 0.0045]","[0.0644, 0.0034]","[0.1828, 0.0053]"
0.001,0.01,3,50,0.6,"[0.0734, 0.0028]","[0.0128, 0.0006]","[0.0103, 0.0004]","[0.009, 0.0003]","[0.0181, 0.001]","[0.0056, 0.0002]","[0.0292, 0.0022]","[0.08, 0.0038]","[0.0949, 0.004]","[0.1083, 0.0043]","[0.0573, 0.0032]","[0.1612, 0.005]"
0.001,0.005,3,50,0.6,"[0.0777, 0.0029]","[0.0134, 0.0006]","[0.0109, 0.0004]","[0.0094, 0.0004]","[0.0188, 0.001]","[0.0057, 0.0002]","[0.0324, 0.0024]","[0.0841, 0.0038]","[0.1006, 0.0041]","[0.1143, 0.0044]","[0.0602, 0.0033]","[0.1672, 0.0051]"
0.001,0.01,5,50,0.6,"[0.0726, 0.0028]","[0.0128, 0.0006]","[0.0104, 0.0004]","[0.009, 0.0003]","[0.0179, 0.0009]","[0.0054, 0.0002]","[0.0294, 0.0022]","[0.0801, 0.0037]","[0.0963, 0.0041]","[0.1095, 0.0043]","[0.0567, 0.0032]","[0.1573, 0.005]"
0.001,0.005,5,50,0.6,"[0.0762, 0.0028]","[0.0135, 0.0006]","[0.011, 0.0004]","[0.0094, 0.0004]","[0.0187, 0.001]","[0.0057, 0.0002]","[0.0308, 0.0023]","[0.0833, 0.0038]","[0.0999, 0.0041]","[0.1139, 0.0044]","[0.0599, 0.0033]","[0.1643, 0.0051]"
0.001,0.01,7,50,0.6,"[0.0729, 0.0028]","[0.0128, 0.0006]","[0.0102, 0.0004]","[0.0088, 0.0003]","[0.0178, 0.0009]","[0.0054, 0.0002]","[0.0301, 0.0023]","[0.0792, 0.0037]","[0.0936, 0.004]","[0.1059, 0.0042]","[0.0574, 0.0032]","[0.1573, 0.005]"
0.001,0.005,7,50,0.6,"[0.075, 0.0028]","[0.013, 0.0006]","[0.0106, 0.0004]","[0.0093, 0.0003]","[0.0184, 0.001]","[0.0055, 0.0002]","[0.0318, 0.0023]","[0.0817, 0.0038]","[0.0975, 0.0041]","[0.1123, 0.0043]","[0.059, 0.0033]","[0.1587, 0.005]"
0.001,0.01,3,100,0.6,"[0.0784, 0.0028]","[0.0137, 0.0006]","[0.0112, 0.0004]","[0.0097, 0.0004]","[0.0192, 0.001]","[0.006, 0.0002]","[0.0309, 0.0023]","[0.0846, 0.0038]","[0.1024, 0.0042]","[0.1161, 0.0044]","[0.0607, 0.0033]","[0.1725, 0.0052]"
0.001,0.005,3,100,0.6,"[0.0815, 0.0029]","[0.0143, 0.0006]","[0.0117, 0.0005]","[0.0099, 0.0004]","[0.0197, 0.001]","[0.0061, 0.0002]","[0.0328, 0.0024]","[0.0889, 0.0039]","[0.1072, 0.0043]","[0.1202, 0.0045]","[0.0635, 0.0034]","[0.1773, 0.0052]"
0.001,0.01,5,100,0.6,"[0.0791, 0.0029]","[0.0138, 0.0006]","[0.0113, 0.0004]","[0.0097, 0.0004]","[0.0192, 0.001]","[0.006, 0.0002]","[0.0325, 0.0023]","[0.0855, 0.0039]","[0.1037, 0.0042]","[0.1165, 0.0044]","[0.0608, 0.0033]","[0.1717, 0.0052]"
0.001,0.005,5,100,0.6,"[0.082, 0.0029]","[0.014, 0.0006]","[0.0115, 0.0004]","[0.0099, 0.0004]","[0.0195, 0.001]","[0.0061, 0.0002]","[0.0339, 0.0024]","[0.087, 0.0039]","[0.1057, 0.0042]","[0.1207, 0.0045]","[0.0616, 0.0033]","[0.1782, 0.0052]"
0.001,0.01,7,100,0.6,"[0.0782, 0.0029]","[0.0136, 0.0006]","[0.0111, 0.0004]","[0.0096, 0.0004]","[0.0192, 0.001]","[0.0058, 0.0002]","[0.0319, 0.0023]","[0.0838, 0.0038]","[0.1014, 0.0042]","[0.1143, 0.0044]","[0.0616, 0.0033]","[0.1675, 0.0051]"
0.001,0.005,7,100,0.6,"[0.0818, 0.0029]","[0.0142, 0.0006]","[0.0114, 0.0004]","[0.0099, 0.0004]","[0.02, 0.001]","[0.0061, 0.0002]","[0.0343, 0.0024]","[0.089, 0.0039]","[0.105, 0.0042]","[0.1192, 0.0045]","[0.0639, 0.0034]","[0.1745, 0.0052]"
0.001,0.01,3,200,0.6,"[0.0801, 0.0028]","[0.0138, 0.0006]","[0.0116, 0.0005]","[0.01, 0.0004]","[0.0191, 0.001]","[0.0063, 0.0002]","[0.0308, 0.0023]","[0.0847, 0.0038]","[0.1051, 0.0042]","[0.1194, 0.0044]","[0.0608, 0.0033]","[0.1792, 0.0052]"
0.001,0.005,3,200,0.6,"[0.0838, 0.0029]","[0.0142, 0.0006]","[0.0116, 0.0005]","[0.0101, 0.0004]","[0.0202, 0.001]","[0.0064, 0.0002]","[0.0337, 0.0024]","[0.0888, 0.0039]","[0.1065, 0.0043]","[0.1222, 0.0045]","[0.0649, 0.0034]","[0.1839, 0.0053]"
0.001,0.01,5,200,0.6,"[0.0804, 0.0028]","[0.0142, 0.0006]","[0.0116, 0.0005]","[0.01, 0.0004]","[0.0192, 0.001]","[0.0063, 0.0002]","[0.031, 0.0023]","[0.0875, 0.0039]","[0.1061, 0.0042]","[0.1196, 0.0045]","[0.0606, 0.0033]","[0.1793, 0.0052]"
0.001,0.005,5,200,0.6,"[0.0834, 0.0029]","[0.0143, 0.0006]","[0.0118, 0.0005]","[0.0103, 0.0004]","[0.02, 0.001]","[0.0064, 0.0002]","[0.0328, 0.0023]","[0.0881, 0.0039]","[0.1072, 0.0043]","[0.1235, 0.0045]","[0.0638, 0.0034]","[0.1831, 0.0053]"
0.001,0.01,7,200,0.6,"[0.0796, 0.0028]","[0.014, 0.0006]","[0.0116, 0.0005]","[0.01, 0.0004]","[0.0191, 0.001]","[0.0062, 0.0002]","[0.0312, 0.0023]","[0.0862, 0.0039]","[0.1049, 0.0042]","[0.1187, 0.0044]","[0.0609, 0.0033]","[0.1769, 0.0052]"
0.001,0.005,7,200,0.6,"[0.0852, 0.003]","[0.0149, 0.0006]","[0.012, 0.0005]","[0.0104, 0.0004]","[0.0207, 0.001]","[0.0064, 0.0002]","[0.0352, 0.0024]","[0.0923, 0.004]","[0.1088, 0.0043]","[0.1245, 0.0045]","[0.0657, 0.0034]","[0.1839, 0.0053]"
