lam,lr,kfac,dfac,beta,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0.001,0.005,3,100,0.2,"[0.1886, 0.0039]","[0.0897, 0.0027]","[0.0864, 0.0023]","[0.0843, 0.0021]","[0.0946, 0.0037]","[0.0729, 0.0014]","[0.092, 0.0029]","[0.0943, 0.0038]","[0.1302, 0.0045]","[0.1641, 0.0051]","[0.0528, 0.0028]","[0.3112, 0.0064]"
1e-05,0.0001,3,100,0.2,"[0.1865, 0.0039]","[0.0896, 0.0028]","[0.0865, 0.0023]","[0.0843, 0.0021]","[0.0923, 0.0036]","[0.0721, 0.0015]","[0.0908, 0.0029]","[0.094, 0.0039]","[0.1301, 0.0045]","[0.1632, 0.005]","[0.0512, 0.0028]","[0.3074, 0.0064]"
1e-05,0.001,3,100,0.2,"[0.1892, 0.004]","[0.0911, 0.0028]","[0.0879, 0.0024]","[0.0852, 0.0021]","[0.0954, 0.0037]","[0.0732, 0.0015]","[0.0928, 0.0029]","[0.0947, 0.0038]","[0.1311, 0.0045]","[0.1643, 0.0051]","[0.0528, 0.0028]","[0.3108, 0.0065]"
1e-05,0.01,3,100,0.2,"[0.1899, 0.0039]","[0.0915, 0.0028]","[0.0883, 0.0024]","[0.0853, 0.0021]","[0.0949, 0.0037]","[0.0725, 0.0014]","[0.091, 0.0029]","[0.0957, 0.0038]","[0.1341, 0.0046]","[0.1669, 0.0051]","[0.0526, 0.0028]","[0.3133, 0.0065]"
1e-05,0.005,3,100,0.2,"[0.1909, 0.0039]","[0.0915, 0.0028]","[0.0887, 0.0024]","[0.0856, 0.0021]","[0.097, 0.0036]","[0.0738, 0.0014]","[0.0931, 0.0029]","[0.0956, 0.0039]","[0.1333, 0.0046]","[0.1657, 0.0051]","[0.0536, 0.0028]","[0.3125, 0.0064]"
0.0001,0.0001,5,100,0.2,"[0.1898, 0.004]","[0.0916, 0.0028]","[0.0882, 0.0024]","[0.0855, 0.0021]","[0.0937, 0.0037]","[0.0729, 0.0015]","[0.0924, 0.0029]","[0.0959, 0.0039]","[0.1336, 0.0046]","[0.167, 0.0052]","[0.0523, 0.0029]","[0.3128, 0.0066]"
0.0001,0.001,5,100,0.2,"[0.1912, 0.004]","[0.0926, 0.0028]","[0.0888, 0.0024]","[0.0863, 0.0021]","[0.0957, 0.0037]","[0.0736, 0.0015]","[0.0938, 0.0029]","[0.0971, 0.0039]","[0.1334, 0.0046]","[0.1675, 0.0051]","[0.0533, 0.0028]","[0.3136, 0.0065]"
0.0001,0.01,5,100,0.2,"[0.1901, 0.004]","[0.0897, 0.0027]","[0.0872, 0.0023]","[0.0848, 0.002]","[0.0927, 0.0036]","[0.0725, 0.0014]","[0.0909, 0.0029]","[0.0954, 0.0039]","[0.1346, 0.0047]","[0.1685, 0.0052]","[0.0519, 0.0028]","[0.3138, 0.0065]"
0.0001,0.005,5,100,0.2,"[0.19, 0.004]","[0.0901, 0.0027]","[0.0868, 0.0023]","[0.0843, 0.0021]","[0.0949, 0.0036]","[0.0723, 0.0014]","[0.093, 0.0029]","[0.0957, 0.0039]","[0.1326, 0.0046]","[0.1658, 0.0051]","[0.0532, 0.0028]","[0.3109, 0.0065]"
0.001,0.0001,5,100,0.2,"[0.1907, 0.004]","[0.0912, 0.0028]","[0.089, 0.0024]","[0.0861, 0.0022]","[0.0945, 0.0037]","[0.073, 0.0015]","[0.0929, 0.0029]","[0.0963, 0.004]","[0.1351, 0.0046]","[0.1681, 0.0052]","[0.053, 0.0029]","[0.3136, 0.0066]"
0.001,0.001,5,100,0.2,"[0.191, 0.004]","[0.0918, 0.0028]","[0.0884, 0.0024]","[0.0858, 0.0021]","[0.0933, 0.0037]","[0.0735, 0.0015]","[0.0929, 0.0029]","[0.0961, 0.0039]","[0.1343, 0.0047]","[0.1677, 0.0051]","[0.0526, 0.0028]","[0.3147, 0.0066]"
0.001,0.01,5,100,0.2,"[0.1889, 0.0039]","[0.0898, 0.0027]","[0.0868, 0.0023]","[0.0847, 0.0021]","[0.0921, 0.0036]","[0.0723, 0.0014]","[0.0919, 0.0029]","[0.0947, 0.0038]","[0.1324, 0.0046]","[0.1666, 0.0051]","[0.0511, 0.0028]","[0.3121, 0.0065]"
0.001,0.005,5,100,0.2,"[0.1891, 0.004]","[0.0898, 0.0027]","[0.0862, 0.0023]","[0.0838, 0.0021]","[0.0935, 0.0036]","[0.0716, 0.0014]","[0.0918, 0.0029]","[0.0959, 0.0039]","[0.1319, 0.0046]","[0.1663, 0.0052]","[0.0524, 0.0028]","[0.3121, 0.0066]"
1e-05,0.0001,5,100,0.2,"[0.1908, 0.004]","[0.0919, 0.0028]","[0.0884, 0.0024]","[0.0857, 0.0021]","[0.0947, 0.0037]","[0.0732, 0.0015]","[0.0926, 0.0029]","[0.0969, 0.0039]","[0.1341, 0.0046]","[0.1675, 0.0052]","[0.0524, 0.0028]","[0.3143, 0.0066]"
1e-05,0.001,5,100,0.2,"[0.1906, 0.004]","[0.0924, 0.0028]","[0.089, 0.0024]","[0.0863, 0.0022]","[0.0957, 0.0037]","[0.0735, 0.0015]","[0.0928, 0.0029]","[0.0962, 0.0039]","[0.1343, 0.0046]","[0.1678, 0.0052]","[0.0525, 0.0028]","[0.3131, 0.0066]"
1e-05,0.01,5,100,0.2,"[0.1917, 0.0039]","[0.0915, 0.0028]","[0.0883, 0.0023]","[0.0863, 0.0021]","[0.0956, 0.0037]","[0.0735, 0.0014]","[0.0932, 0.0029]","[0.0959, 0.0039]","[0.1344, 0.0046]","[0.1685, 0.0051]","[0.0535, 0.0029]","[0.317, 0.0065]"
1e-05,0.005,5,100,0.2,"[0.1894, 0.004]","[0.0909, 0.0028]","[0.0872, 0.0023]","[0.0847, 0.0021]","[0.0948, 0.0036]","[0.0725, 0.0014]","[0.0923, 0.0029]","[0.0951, 0.0039]","[0.1316, 0.0045]","[0.1646, 0.0051]","[0.0526, 0.0028]","[0.3101, 0.0064]"
0.0001,0.0001,7,100,0.2,"[0.1925, 0.004]","[0.0929, 0.0028]","[0.0903, 0.0024]","[0.087, 0.0022]","[0.0962, 0.0037]","[0.0738, 0.0015]","[0.0937, 0.0029]","[0.0986, 0.004]","[0.1375, 0.0047]","[0.1703, 0.0052]","[0.0542, 0.0029]","[0.3163, 0.0066]"
0.0001,0.001,7,100,0.2,"[0.1918, 0.004]","[0.0934, 0.0028]","[0.09, 0.0024]","[0.0873, 0.0022]","[0.0968, 0.0037]","[0.0742, 0.0015]","[0.0939, 0.0029]","[0.0974, 0.0039]","[0.1348, 0.0046]","[0.169, 0.0052]","[0.0536, 0.0029]","[0.3145, 0.0065]"
0.0001,0.01,7,100,0.2,"[0.1852, 0.0039]","[0.0905, 0.0028]","[0.0869, 0.0024]","[0.0837, 0.0021]","[0.0939, 0.0037]","[0.0713, 0.0014]","[0.0904, 0.0028]","[0.0922, 0.0037]","[0.1293, 0.0045]","[0.1609, 0.005]","[0.0507, 0.0027]","[0.3018, 0.0063]"
0.0001,0.005,7,100,0.2,"[0.1879, 0.0039]","[0.0926, 0.0028]","[0.0894, 0.0024]","[0.0862, 0.0021]","[0.0953, 0.0037]","[0.0728, 0.0014]","[0.0938, 0.0028]","[0.0959, 0.0039]","[0.1329, 0.0046]","[0.1646, 0.0051]","[0.052, 0.0027]","[0.3039, 0.0063]"
0.001,0.0001,7,100,0.2,"[0.192, 0.004]","[0.0931, 0.0028]","[0.0896, 0.0024]","[0.0867, 0.0022]","[0.096, 0.0037]","[0.0736, 0.0015]","[0.0935, 0.0029]","[0.098, 0.0039]","[0.1365, 0.0047]","[0.169, 0.0052]","[0.0539, 0.0029]","[0.315, 0.0066]"
0.001,0.001,7,100,0.2,"[0.192, 0.004]","[0.0916, 0.0028]","[0.0884, 0.0024]","[0.0864, 0.0022]","[0.0952, 0.0037]","[0.074, 0.0015]","[0.0935, 0.0029]","[0.0954, 0.0039]","[0.1337, 0.0046]","[0.1688, 0.0052]","[0.0528, 0.0028]","[0.317, 0.0066]"
0.001,0.01,7,100,0.2,"[0.1887, 0.004]","[0.0916, 0.0028]","[0.0878, 0.0024]","[0.0849, 0.0021]","[0.0954, 0.0037]","[0.0723, 0.0014]","[0.0931, 0.0029]","[0.0959, 0.0039]","[0.1315, 0.0046]","[0.1639, 0.0051]","[0.0524, 0.0028]","[0.3063, 0.0064]"
0.001,0.005,7,100,0.2,"[0.1876, 0.004]","[0.0869, 0.0027]","[0.0846, 0.0023]","[0.0826, 0.0021]","[0.0916, 0.0036]","[0.0707, 0.0014]","[0.0905, 0.0029]","[0.0936, 0.0039]","[0.1312, 0.0046]","[0.1653, 0.0052]","[0.0527, 0.0028]","[0.3093, 0.0066]"
1e-05,0.0001,7,100,0.2,"[0.1922, 0.004]","[0.0928, 0.0028]","[0.0906, 0.0024]","[0.0872, 0.0022]","[0.0951, 0.0037]","[0.0737, 0.0015]","[0.0944, 0.0029]","[0.098, 0.004]","[0.1373, 0.0047]","[0.1712, 0.0052]","[0.0535, 0.0029]","[0.3162, 0.0066]"
1e-05,0.001,7,100,0.2,"[0.1931, 0.004]","[0.0945, 0.0029]","[0.0903, 0.0024]","[0.0874, 0.0022]","[0.0971, 0.0037]","[0.0746, 0.0015]","[0.0949, 0.0029]","[0.098, 0.0039]","[0.1356, 0.0046]","[0.1693, 0.0051]","[0.0537, 0.0028]","[0.3161, 0.0065]"
1e-05,0.01,7,100,0.2,"[0.1883, 0.0039]","[0.0924, 0.0028]","[0.0893, 0.0024]","[0.0861, 0.0021]","[0.0975, 0.0037]","[0.0727, 0.0015]","[0.0937, 0.0029]","[0.095, 0.0039]","[0.1325, 0.0046]","[0.164, 0.005]","[0.0531, 0.0028]","[0.3047, 0.0063]"
1e-05,0.005,7,100,0.2,"[0.1885, 0.0039]","[0.0906, 0.0028]","[0.0874, 0.0023]","[0.0845, 0.0021]","[0.0952, 0.0037]","[0.0723, 0.0014]","[0.0922, 0.0029]","[0.0949, 0.0038]","[0.1319, 0.0045]","[0.1648, 0.005]","[0.0527, 0.0028]","[0.3079, 0.0064]"
0.0001,0.0001,3,200,0.2,"[0.1919, 0.004]","[0.0929, 0.0028]","[0.0889, 0.0024]","[0.0859, 0.0021]","[0.0954, 0.0037]","[0.0738, 0.0015]","[0.0935, 0.003]","[0.0971, 0.0039]","[0.1338, 0.0046]","[0.1669, 0.0051]","[0.0528, 0.0028]","[0.3159, 0.0066]"
0.0001,0.001,3,200,0.2,"[0.192, 0.004]","[0.0927, 0.0029]","[0.089, 0.0024]","[0.0863, 0.0022]","[0.0964, 0.0037]","[0.0742, 0.0015]","[0.0934, 0.0029]","[0.0963, 0.0039]","[0.1336, 0.0046]","[0.1666, 0.0051]","[0.0533, 0.0029]","[0.316, 0.0065]"
0.0001,0.01,3,200,0.2,"[0.195, 0.004]","[0.0944, 0.0028]","[0.0903, 0.0024]","[0.0877, 0.0021]","[0.0979, 0.0037]","[0.0747, 0.0015]","[0.095, 0.0029]","[0.1003, 0.004]","[0.1369, 0.0047]","[0.1708, 0.0052]","[0.0546, 0.0029]","[0.3202, 0.0066]"
0.0001,0.005,3,200,0.2,"[0.1933, 0.004]","[0.0918, 0.0028]","[0.089, 0.0024]","[0.0874, 0.0021]","[0.0976, 0.0037]","[0.0745, 0.0015]","[0.0954, 0.0029]","[0.0964, 0.0039]","[0.1343, 0.0046]","[0.17, 0.0052]","[0.0542, 0.0029]","[0.3176, 0.0065]"
0.001,0.0001,3,200,0.2,"[0.1922, 0.004]","[0.0924, 0.0028]","[0.0897, 0.0024]","[0.0864, 0.0022]","[0.0955, 0.0037]","[0.0741, 0.0015]","[0.0933, 0.0029]","[0.0964, 0.0039]","[0.1347, 0.0046]","[0.1666, 0.0051]","[0.0527, 0.0028]","[0.3167, 0.0066]"
0.001,0.001,3,200,0.2,"[0.1913, 0.004]","[0.0919, 0.0028]","[0.0886, 0.0024]","[0.0859, 0.0021]","[0.0966, 0.0037]","[0.0736, 0.0015]","[0.0934, 0.0029]","[0.0959, 0.0039]","[0.1332, 0.0046]","[0.1661, 0.0051]","[0.0541, 0.0029]","[0.3151, 0.0065]"
0.001,0.01,3,200,0.2,"[0.1909, 0.004]","[0.0914, 0.0028]","[0.088, 0.0024]","[0.085, 0.0021]","[0.0962, 0.0037]","[0.073, 0.0014]","[0.0928, 0.0029]","[0.096, 0.0039]","[0.1344, 0.0047]","[0.1669, 0.0052]","[0.0539, 0.0029]","[0.3142, 0.0065]"
0.001,0.005,3,200,0.2,"[0.1913, 0.004]","[0.0915, 0.0028]","[0.0886, 0.0024]","[0.0864, 0.0021]","[0.0961, 0.0037]","[0.0737, 0.0015]","[0.0933, 0.0029]","[0.0959, 0.0039]","[0.1339, 0.0046]","[0.1676, 0.0051]","[0.0533, 0.0029]","[0.3141, 0.0065]"
